FirstName1 LastName1  associate 100455.77
FirstName2 LastName2  assistant 69099.12
FirstName3 LastName3  assistant 58091.29
FirstName4 LastName4  associate 92832.39
FirstName5 LastName5  full 127486.32
FirstName6 LastName6  full 98949.32
FirstName7 LastName7  full 86559.25
FirstName8 LastName8  associate 77429.76
FirstName9 LastName9  associate 70264.42
FirstName10 LastName10  assistant 72756.42
FirstName11 LastName11  assistant 50178.31
FirstName12 LastName12  assistant 71234.91
FirstName13 LastName13  assistant 64572.67
FirstName14 LastName14  full 119332.73
FirstName15 LastName15  full 84868.21
FirstName16 LastName16  associate 103104.18
FirstName17 LastName17  associate 107713.98
FirstName18 LastName18  full 100456.95
FirstName19 LastName19  full 83889.27
FirstName20 LastName20  full 123437.07
FirstName21 LastName21  assistant 72577.07
FirstName22 LastName22  associate 80130.80
FirstName23 LastName23  associate 94696.50
FirstName24 LastName24  associate 80963.23
FirstName25 LastName25  full 124796.81
FirstName26 LastName26  full 96108.44
FirstName27 LastName27  associate 102616.93
FirstName28 LastName28  associate 62934.83
FirstName29 LastName29  associate 103825.09
FirstName30 LastName30  assistant 59120.83
FirstName31 LastName31  associate 76166.91
FirstName32 LastName32  assistant 50871.87
FirstName33 LastName33  associate 86703.46
FirstName34 LastName34  assistant 74879.77
FirstName35 LastName35  full 119561.16
FirstName36 LastName36  full 89327.95
FirstName37 LastName37  assistant 65900.24
FirstName38 LastName38  associate 93214.44
FirstName39 LastName39  assistant 70955.23
FirstName40 LastName40  full 127370.63
FirstName41 LastName41  assistant 60398.02
FirstName42 LastName42  assistant 73405.95
FirstName43 LastName43  full 94801.10
FirstName44 LastName44  associate 65035.66
FirstName45 LastName45  associate 85739.24
FirstName46 LastName46  associate 68333.89
FirstName47 LastName47  assistant 71713.82
FirstName48 LastName48  assistant 70389.66
FirstName49 LastName49  associate 97881.53
FirstName50 LastName50  associate 106211.83
FirstName51 LastName51  assistant 79791.15
FirstName52 LastName52  associate 80556.23
FirstName53 LastName53  associate 63156.63
FirstName54 LastName54  full 116969.88
FirstName55 LastName55  full 110049.39
FirstName56 LastName56  full 92682.97
FirstName57 LastName57  assistant 78208.72
FirstName58 LastName58  full 87410.59
FirstName59 LastName59  full 77101.22
FirstName60 LastName60  assistant 65659.53
FirstName61 LastName61  associate 78095.07
FirstName62 LastName62  associate 69917.69
FirstName63 LastName63  full 98012.34
FirstName64 LastName64  assistant 77173.60
FirstName65 LastName65  associate 67445.46
FirstName66 LastName66  assistant 65887.73
FirstName67 LastName67  associate 106578.56
FirstName68 LastName68  associate 95170.54
FirstName69 LastName69  associate 99953.15
FirstName70 LastName70  assistant 74600.42
FirstName71 LastName71  associate 62175.13
FirstName72 LastName72  associate 64363.95
FirstName73 LastName73  full 75805.44
FirstName74 LastName74  associate 95087.39
FirstName75 LastName75  assistant 67479.58
FirstName76 LastName76  associate 73351.22
FirstName77 LastName77  associate 81650.14
FirstName78 LastName78  associate 68642.31
FirstName79 LastName79  associate 64435.94
FirstName80 LastName80  associate 98352.43
FirstName81 LastName81  assistant 59401.16
FirstName82 LastName82  associate 100164.86
FirstName83 LastName83  assistant 60171.72
FirstName84 LastName84  associate 101384.61
FirstName85 LastName85  associate 69224.43
FirstName86 LastName86  full 123349.19
FirstName87 LastName87  full 84943.47
FirstName88 LastName88  full 81677.34
FirstName89 LastName89  associate 95325.79
FirstName90 LastName90  associate 100040.65
FirstName91 LastName91  associate 62422.79
FirstName92 LastName92  associate 71267.37
FirstName93 LastName93  assistant 57536.09
FirstName94 LastName94  associate 75157.03
FirstName95 LastName95  assistant 73863.07
FirstName96 LastName96  assistant 66250.49
FirstName97 LastName97  full 127496.76
FirstName98 LastName98  full 92129.22
FirstName99 LastName99  associate 95915.00
FirstName100 LastName100  full 108396.19
FirstName101 LastName101  assistant 57349.13
FirstName102 LastName102  assistant 65064.73
FirstName103 LastName103  assistant 77098.81
FirstName104 LastName104  associate 109182.31
FirstName105 LastName105  full 80648.53
FirstName106 LastName106  assistant 76497.61
FirstName107 LastName107  full 90019.70
FirstName108 LastName108  associate 68490.68
FirstName109 LastName109  assistant 66551.13
FirstName110 LastName110  full 127862.33
FirstName111 LastName111  full 128004.19
FirstName112 LastName112  full 87508.93
FirstName113 LastName113  full 82720.74
FirstName114 LastName114  full 92079.52
FirstName115 LastName115  associate 105476.36
FirstName116 LastName116  assistant 51847.17
FirstName117 LastName117  assistant 62416.48
FirstName118 LastName118  assistant 68408.48
FirstName119 LastName119  assistant 72982.32
FirstName120 LastName120  associate 87375.77
FirstName121 LastName121  full 109750.21
FirstName122 LastName122  full 101657.55
FirstName123 LastName123  full 105197.48
FirstName124 LastName124  associate 107259.22
FirstName125 LastName125  assistant 57075.15
FirstName126 LastName126  full 110602.80
FirstName127 LastName127  associate 90934.73
FirstName128 LastName128  full 91096.90
FirstName129 LastName129  full 120127.41
FirstName130 LastName130  associate 73985.10
FirstName131 LastName131  assistant 76648.12
FirstName132 LastName132  assistant 71609.54
FirstName133 LastName133  associate 90578.88
FirstName134 LastName134  associate 89752.62
FirstName135 LastName135  full 96207.56
FirstName136 LastName136  associate 103820.39
FirstName137 LastName137  associate 95286.89
FirstName138 LastName138  full 128532.30
FirstName139 LastName139  assistant 66404.77
FirstName140 LastName140  assistant 77195.98
FirstName141 LastName141  assistant 67258.50
FirstName142 LastName142  associate 70530.74
FirstName143 LastName143  full 122890.37
FirstName144 LastName144  associate 93862.35
FirstName145 LastName145  associate 89603.74
FirstName146 LastName146  full 113660.92
FirstName147 LastName147  full 119723.92
FirstName148 LastName148  assistant 55585.75
